session_id	group_id	task	phase	onset_s	duration_s	expected_discussion_phase	is_discussion_start
ses-20260317_grp-09_run01	grp-09	T3	idea_generation	40.3	184.8	show_ideas_discussion	False
ses-20260317_grp-09_run01	grp-09	T3	show_ideas_discussion	225.1	422.1	show_ideas_discussion	True
ses-20260317_grp-09_run01	grp-09	T3	group_selection	647.2	78.0	show_ideas_discussion	False
ses-20260317_grp-09_run01	grp-09	T3	finish	725.2	0.0	show_ideas_discussion	False
ses-20260317_grp-09_run01	grp-09	T4	shared_brief	0.0	95.1	discussion	False
ses-20260317_grp-09_run01	grp-09	T4	contribution_form	95.1	119.6	discussion	False
ses-20260317_grp-09_run01	grp-09	T4	discussion	214.6	186.3	discussion	True
ses-20260317_grp-09_run01	grp-09	T4	finish	400.9	0.0	discussion	False
ses-20260317_grp-10_run01	grp-10	T0	study_introduction	562.9	5.3	free_talk	False
ses-20260317_grp-10_run01	grp-10	T0	vad_introduction	568.2	139.6	free_talk	False
ses-20260317_grp-10_run01	grp-10	T0	postblock_introduction	707.8	17.8	free_talk	False
ses-20260317_grp-10_run01	grp-10	T0	free_talk	725.6	329.9	free_talk	True
ses-20260317_grp-10_run01	grp-10	T0	finish	1055.5	67002.9	free_talk	False
ses-20260317_grp-10_run01	grp-10	T0	welcome	68058.4	1519.9	free_talk	False
ses-20260317_grp-10_run01	grp-10	T0	study_introduction	69578.2	4.7	free_talk	False
ses-20260317_grp-10_run01	grp-10	T0	vad_introduction	69583.0	70.2	free_talk	False
ses-20260317_grp-10_run01	grp-10	T0	postblock_introduction	69653.2	20.9	free_talk	False
ses-20260317_grp-10_run01	grp-10	T0	free_talk	69674.1	344.6	free_talk	True
ses-20260317_grp-10_run01	grp-10	T0	finish	70018.7	0.0	free_talk	False
ses-20260317_grp-10_run01	grp-10	T1	intro	19.1	88.0	discussion_selection	False
ses-20260317_grp-10_run01	grp-10	T1	evidence_card	107.2	83.2	discussion_selection	False
ses-20260317_grp-10_run01	grp-10	T1	discussion_selection	190.3	354.5	discussion_selection	True
ses-20260317_grp-10_run01	grp-10	T1	candidate_selection	544.8	60.0	discussion_selection	False
ses-20260317_grp-10_run01	grp-10	T1	finish	604.8	0.0	discussion_selection	False
ses-20260317_grp-10_run01	grp-10	T2	role_card	50.5	504.1	role_card	True
ses-20260317_grp-10_run01	grp-10	T2	settlement_form	554.6	337.1	role_card	False
ses-20260317_grp-10_run01	grp-10	T2	finish	891.7	0.0	role_card	False
ses-20260317_grp-10_run01	grp-10	T3	idea_generation	37.5	188.1	show_ideas_discussion	False
ses-20260317_grp-10_run01	grp-10	T3	show_ideas_discussion	225.5	400.5	show_ideas_discussion	True
ses-20260317_grp-10_run01	grp-10	T3	group_selection	626.0	31.6	show_ideas_discussion	False
ses-20260317_grp-10_run01	grp-10	T3	finish	657.6	0.0	show_ideas_discussion	False
ses-20260317_grp-10_run01	grp-10	T4	shared_brief	0.0	64.5	discussion	False
ses-20260317_grp-10_run01	grp-10	T4	contribution_form	64.5	154.5	discussion	False
ses-20260317_grp-10_run01	grp-10	T4	discussion	218.9	122.3	discussion	True
ses-20260317_grp-10_run01	grp-10	T4	finish	341.2	0.0	discussion	False
ses-20260318_grp-12_run01	grp-12	T0	welcome	0.0	1076.8	free_talk	False
ses-20260318_grp-12_run01	grp-12	T0	study_introduction	1076.8	39.3	free_talk	False
ses-20260318_grp-12_run01	grp-12	T0	vad_introduction	1116.1	66.9	free_talk	False
ses-20260318_grp-12_run01	grp-12	T0	postblock_introduction	1183.0	53.8	free_talk	False
ses-20260318_grp-12_run01	grp-12	T0	free_talk	1236.8	222.5	free_talk	True
ses-20260318_grp-12_run01	grp-12	T0	finish	1459.3	0.0	free_talk	False
ses-20260318_grp-12_run01	grp-12	T1	intro	7.7	106.9	discussion_selection	False
ses-20260318_grp-12_run01	grp-12	T1	evidence_card	114.6	94.0	discussion_selection	False
ses-20260318_grp-12_run01	grp-12	T1	discussion_selection	208.6	403.0	discussion_selection	True
ses-20260318_grp-12_run01	grp-12	T1	candidate_selection	611.6	35.4	discussion_selection	False
ses-20260318_grp-12_run01	grp-12	T1	finish	647.0	0.0	discussion_selection	False
ses-20260318_grp-12_run01	grp-12	T2	shared_brief	0.0	88.3	role_card	False
ses-20260318_grp-12_run01	grp-12	T2	role_card	88.3	504.1	role_card	True
ses-20260318_grp-12_run01	grp-12	T2	settlement_form	592.4	233.6	role_card	False
ses-20260318_grp-12_run01	grp-12	T2	finish	826.0	0.0	role_card	False
ses-20260318_grp-12_run01	grp-12	T3	instructions	0.0	6.0	show_ideas_discussion	False
ses-20260318_grp-12_run01	grp-12	T3	instructions	6.0	46.2	show_ideas_discussion	False
ses-20260318_grp-12_run01	grp-12	T3	idea_generation	52.2	199.3	show_ideas_discussion	False
ses-20260318_grp-12_run01	grp-12	T3	show_ideas_discussion	251.5	428.5	show_ideas_discussion	True
ses-20260318_grp-12_run01	grp-12	T3	group_selection	680.0	39.1	show_ideas_discussion	False
ses-20260318_grp-12_run01	grp-12	T3	finish	719.1	0.0	show_ideas_discussion	False
ses-20260318_grp-12_run01	grp-12	T4	contribution_form	64.6	132.6	discussion	False
ses-20260318_grp-12_run01	grp-12	T4	discussion	197.1	191.5	discussion	True
ses-20260318_grp-12_run01	grp-12	T4	finish	388.6	0.0	discussion	False
ses-20260318_grp-13_run01	grp-13	T0	welcome	0.0	721.7	free_talk	False
ses-20260318_grp-13_run01	grp-13	T0	study_introduction	721.7	58.8	free_talk	False
ses-20260318_grp-13_run01	grp-13	T0	vad_introduction	780.4	129.8	free_talk	False
ses-20260318_grp-13_run01	grp-13	T0	postblock_introduction	910.2	14.6	free_talk	False
ses-20260318_grp-13_run01	grp-13	T0	free_talk	924.8	220.9	free_talk	True
ses-20260318_grp-13_run01	grp-13	T0	finish	1145.8	0.0	free_talk	False
ses-20260318_grp-13_run01	grp-13	T1	tobii_calibration	0.0	4.6	discussion_selection	False
ses-20260318_grp-13_run01	grp-13	T1	intro	4.6	130.3	discussion_selection	False
ses-20260318_grp-13_run01	grp-13	T1	evidence_card	134.8	78.4	discussion_selection	False
ses-20260318_grp-13_run01	grp-13	T1	discussion_selection	213.3	351.3	discussion_selection	True
ses-20260318_grp-13_run01	grp-13	T1	candidate_selection	564.5	24.8	discussion_selection	False
ses-20260318_grp-13_run01	grp-13	T1	finish	589.4	0.0	discussion_selection	False
ses-20260318_grp-13_run01	grp-13	T2	tobii_calibration	0.0	12.0	role_card	False
ses-20260318_grp-13_run01	grp-13	T2	shared_brief	12.0	76.1	role_card	False
ses-20260318_grp-13_run01	grp-13	T2	role_card	88.1	569.9	role_card	True
ses-20260318_grp-13_run01	grp-13	T2	settlement_form	658.0	38.9	role_card	False
ses-20260318_grp-13_run01	grp-13	T2	finish	697.0	0.0	role_card	False
ses-20260318_grp-13_run01	grp-13	T3	tobii_calibration	0.1	10.0	show_ideas_discussion	False
ses-20260318_grp-13_run01	grp-13	T3	instructions	10.1	61.3	show_ideas_discussion	False
ses-20260318_grp-13_run01	grp-13	T3	idea_generation	71.4	194.6	show_ideas_discussion	False
ses-20260318_grp-13_run01	grp-13	T3	show_ideas_discussion	266.0	300.1	show_ideas_discussion	True
ses-20260318_grp-13_run01	grp-13	T3	group_selection	566.1	80.7	show_ideas_discussion	False
ses-20260318_grp-13_run01	grp-13	T3	finish	646.8	0.0	show_ideas_discussion	False
ses-20260318_grp-13_run01	grp-13	T4	tobii_calibration	0.6	1.7	discussion	False
ses-20260318_grp-13_run01	grp-13	T4	tobii_calibration	2.3	4.3	discussion	False
ses-20260318_grp-13_run01	grp-13	T4	shared_brief	6.6	70.8	discussion	False
ses-20260318_grp-13_run01	grp-13	T4	contribution_form	77.4	35.2	discussion	False
ses-20260318_grp-13_run01	grp-13	T4	discussion	112.6	115.8	discussion	True
ses-20260318_grp-13_run01	grp-13	T4	finish	228.4	0.0	discussion	False
ses-20260319_grp-14_run01	grp-14	T0	welcome	0.0	549.0	free_talk	False
ses-20260319_grp-14_run01	grp-14	T0	vad_introduction	549.0	53.9	free_talk	False
ses-20260319_grp-14_run01	grp-14	T0	postblock_introduction	602.9	33.9	free_talk	False
ses-20260319_grp-14_run01	grp-14	T0	free_talk	636.8	339.4	free_talk	True
ses-20260319_grp-14_run01	grp-14	T1	intro	5.3	95.4	discussion_selection	False
ses-20260319_grp-14_run01	grp-14	T1	evidence_card	100.7	87.8	discussion_selection	False
ses-20260319_grp-14_run01	grp-14	T1	discussion_selection	188.5	429.6	discussion_selection	True
ses-20260319_grp-14_run01	grp-14	T1	candidate_selection	618.1	28.9	discussion_selection	False
ses-20260319_grp-14_run01	grp-14	T1	finish	647.0	191.6	discussion_selection	False
ses-20260319_grp-14_run01	grp-14	T2	role_card	85.5	654.1	role_card	True
ses-20260319_grp-14_run01	grp-14	T2	settlement_form	739.5	67.5	role_card	False
ses-20260319_grp-14_run01	grp-14	T2	finish	807.1	124.8	role_card	False
ses-20260319_grp-14_run01	grp-14	T3	idea_generation	58.6	200.9	show_ideas_discussion	False
ses-20260319_grp-14_run01	grp-14	T3	show_ideas_discussion	259.4	372.1	show_ideas_discussion	True
ses-20260319_grp-14_run01	grp-14	T3	group_selection	631.5	57.1	show_ideas_discussion	False
ses-20260319_grp-14_run01	grp-14	T3	finish	688.7	111.0	show_ideas_discussion	False
ses-20260319_grp-14_run01	grp-14	T4	shared_brief	0.0	95.9	discussion	False
ses-20260319_grp-14_run01	grp-14	T4	contribution_form	95.9	140.3	discussion	False
ses-20260319_grp-14_run01	grp-14	T4	discussion	236.1	214.5	discussion	True
ses-20260319_grp-14_run01	grp-14	T4	finish	450.7	91.3	discussion	False
ses-20260319_grp-15_run01	grp-15	T0	welcome	0.0	820.1	free_talk	False
ses-20260319_grp-15_run01	grp-15	T0	study_introduction	820.1	54.1	free_talk	False
ses-20260319_grp-15_run01	grp-15	T0	vad_introduction	874.2	111.3	free_talk	False
ses-20260319_grp-15_run01	grp-15	T0	postblock_introduction	985.5	16.8	free_talk	False
ses-20260319_grp-15_run01	grp-15	T0	free_talk	1002.3	180.9	free_talk	True
ses-20260319_grp-15_run01	grp-15	T0	free_talk	1183.2	371.9	free_talk	True
ses-20260319_grp-15_run01	grp-15	T0	finish	1555.1	0.0	free_talk	False
ses-20260319_grp-15_run01	grp-15	T1	tobii_calibration	0.0	5.3	discussion_selection	False
ses-20260319_grp-15_run01	grp-15	T1	intro	5.3	81.2	discussion_selection	False
ses-20260319_grp-15_run01	grp-15	T1	evidence_card	86.5	79.3	discussion_selection	False
ses-20260319_grp-15_run01	grp-15	T1	discussion_selection	165.8	421.7	discussion_selection	True
ses-20260319_grp-15_run01	grp-15	T1	candidate_selection	587.5	24.3	discussion_selection	False
ses-20260319_grp-15_run01	grp-15	T1	finish	611.8	186.7	discussion_selection	False
ses-20260319_grp-15_run01	grp-15	T2	tobii_calibration	0.0	7.3	role_card	False
ses-20260319_grp-15_run01	grp-15	T2	shared_brief	7.3	60.0	role_card	False
ses-20260319_grp-15_run01	grp-15	T2	role_card	67.4	617.8	role_card	True
ses-20260319_grp-15_run01	grp-15	T2	settlement_form	685.2	61.2	role_card	False
ses-20260319_grp-15_run01	grp-15	T2	finish	746.4	159.1	role_card	False
ses-20260319_grp-15_run01	grp-15	T3	tobii_calibration	0.0	9.9	show_ideas_discussion	False
ses-20260319_grp-15_run01	grp-15	T3	instructions	9.9	57.0	show_ideas_discussion	False
ses-20260319_grp-15_run01	grp-15	T3	idea_generation	66.9	227.2	show_ideas_discussion	False
ses-20260319_grp-15_run01	grp-15	T3	show_ideas_discussion	294.1	366.8	show_ideas_discussion	True
ses-20260319_grp-15_run01	grp-15	T3	group_selection	660.9	58.3	show_ideas_discussion	False
ses-20260319_grp-15_run01	grp-15	T3	finish	719.2	153.4	show_ideas_discussion	False
ses-20260319_grp-15_run01	grp-15	T4	tobii_calibration	0.0	6.4	discussion	False
ses-20260319_grp-15_run01	grp-15	T4	shared_brief	6.4	61.0	discussion	False
ses-20260319_grp-15_run01	grp-15	T4	contribution_form	67.4	72.1	discussion	False
ses-20260319_grp-15_run01	grp-15	T4	discussion	139.5	202.0	discussion	True
ses-20260319_grp-15_run01	grp-15	T4	finish	341.4	76.6	discussion	False
ses-20260320_grp-16_run01	grp-16	T0	welcome	0.0	731.1	free_talk	False
ses-20260320_grp-16_run01	grp-16	T0	study_introduction	731.1	78.6	free_talk	False
ses-20260320_grp-16_run01	grp-16	T0	vad_introduction	809.7	119.1	free_talk	False
ses-20260320_grp-16_run01	grp-16	T0	postblock_introduction	928.8	91.5	free_talk	False
ses-20260320_grp-16_run01	grp-16	T0	free_talk	1020.3	341.7	free_talk	True
ses-20260320_grp-16_run01	grp-16	T0	finish	1362.0	0.0	free_talk	False
ses-20260320_grp-16_run01	grp-16	T1	tobii_calibration	0.0	11.1	discussion_selection	False
ses-20260320_grp-16_run01	grp-16	T1	intro	11.1	69.1	discussion_selection	False
ses-20260320_grp-16_run01	grp-16	T1	evidence_card	80.2	79.1	discussion_selection	False
ses-20260320_grp-16_run01	grp-16	T1	discussion_selection	159.3	418.4	discussion_selection	True
ses-20260320_grp-16_run01	grp-16	T1	candidate_selection	577.7	25.1	discussion_selection	False
ses-20260320_grp-16_run01	grp-16	T1	finish	602.9	0.0	discussion_selection	False
ses-20260320_grp-16_run01	grp-16	T2	tobii_calibration	0.0	4.2	role_card	False
ses-20260320_grp-16_run01	grp-16	T2	shared_brief	4.2	0.4	role_card	False
ses-20260320_grp-16_run01	grp-16	T2	shared_brief	4.5	66.6	role_card	False
ses-20260320_grp-16_run01	grp-16	T2	role_card	71.1	573.5	role_card	True
ses-20260320_grp-16_run01	grp-16	T2	settlement_form	644.6	21.2	role_card	False
ses-20260320_grp-16_run01	grp-16	T2	finish	665.8	0.0	role_card	False
ses-20260320_grp-16_run01	grp-16	T3	tobii_calibration	0.0	10.8	show_ideas_discussion	False
ses-20260320_grp-16_run01	grp-16	T3	instructions	10.8	57.6	show_ideas_discussion	False
ses-20260320_grp-16_run01	grp-16	T3	idea_generation	68.4	205.9	show_ideas_discussion	False
ses-20260320_grp-16_run01	grp-16	T3	show_ideas_discussion	274.4	440.7	show_ideas_discussion	True
ses-20260320_grp-16_run01	grp-16	T3	group_selection	715.1	248.0	show_ideas_discussion	False
ses-20260320_grp-16_run01	grp-16	T3	finish	963.1	0.0	show_ideas_discussion	False
ses-20260320_grp-16_run01	grp-16	T4	tobii_calibration	0.0	6.4	discussion	False
ses-20260320_grp-16_run01	grp-16	T4	shared_brief	6.5	78.9	discussion	False
ses-20260320_grp-16_run01	grp-16	T4	contribution_form	85.4	71.4	discussion	False
ses-20260320_grp-16_run01	grp-16	T4	discussion	156.7	213.1	discussion	True
ses-20260320_grp-16_run01	grp-16	T4	finish	369.9	0.0	discussion	False
