# 	 group_id	 task_id	 onset_a	 speaker_a	 text_a                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    	 speaker_b	 text_b                                                                                                                                                                                                                                                                                                                                                          	 gap_s 	 is_completion
 1	 grp-07  	 T2     	 290.0  	 P1       	 So we could actually choose one of them which actually makes the most sense, and I think...                                                                                                                                                                                                                                                                                                                                                                                               	 P4       	 Yeah, I agree, which is one of them.                                                                                                                                                                                                                                                                                                                            	 -5.04 	 repetition
24	 grp-16  	 T2     	 487.0  	 P4       	 I agree. It would be nice to...                                                                                                                                                                                                                                                                                                                                                                                                                                                           	 P1       	 And it's better to be across department work.                                                                                                                                                                                                                                                                                                                   	 0.62  	 no
25	 grp-11  	 T1     	 175.048	 P3       	 So what is a little bit unclear to me, are they all internal candidates here or is it...                                                                                                                                                                                                                                                                                                                                                                                                  	 P1       	 I don't think so, because one...                                                                                                                                                                                                                                                                                                                                	 1.1   	 no
26	 grp-11  	 T1     	 225.211	 P2       	 One final candidate, we have to find one...                                                                                                                                                                                                                                                                                                                                                                                                                                               	 P4       	 Yeah, we have to find one.                                                                                                                                                                                                                                                                                                                                      	 -2.73 	 repetition
27	 grp-11  	 T1     	 268.696	 P4       	 If you look at the role, it looks like it's...                                                                                                                                                                                                                                                                                                                                                                                                                                            	 P2       	 It's supporting function, yeah?                                                                                                                                                                                                                                                                                                                                 	 -2.04 	 yes
28	 grp-11  	 T2     	 328.558	 P2       	 or how to work better across teams could also but still that's something we've done throughout times...                                                                                                                                                                                                                                                                                                                                                                                   	 P1       	 But how to manage the workload will influence the productivity too, in the last one.                                                                                                                                                                                                                                                                            	 1.89  	 
29	 grp-11  	 T2     	 378.558	 P1       	 It's, yeah, it's...                                                                                                                                                                                                                                                                                                                                                                                                                                                                       	 P4       	 I agree.                                                                                                                                                                                                                                                                                                                                                        	 1.13  	 
30	 grp-11  	 T2     	 518.061	 P4       	 I mean, AI is not so mature just yet, and it will take a long time to really...                                                                                                                                                                                                                                                                                                                                                                                                           	 P2       	 But you have to engage people                                                                                                                                                                                                                                                                                                                                   	 0.41  	 
31	 grp-11  	 T2     	 605.187	 P3       	 I don't think there was an agreement, so...                                                                                                                                                                                                                                                                                                                                                                                                                                               	 P1       	 No                                                                                                                                                                                                                                                                                                                                                              	 -0.61 	 
32	 grp-11  	 T2     	 647.941	 P4       	 The format is...                                                                                                                                                                                                                                                                                                                                                                                                                                                                          	 P2       	 Yeah, you are thinking, but I'm thinking the AI is the topic.                                                                                                                                                                                                                                                                                                   	 0.07  	 
33	 grp-11  	 T2     	 704.922	 P4       	 Yeah...                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   	 P1       	 Yeah, just one...                                                                                                                                                                                                                                                                                                                                               	 0.42  	 
34	 grp-11  	 T2     	 705.498	 P1       	 Yeah, just one...                                                                                                                                                                                                                                                                                                                                                                                                                                                                         	 P2       	 You just tell me what to select, right?                                                                                                                                                                                                                                                                                                                         	 -0.82 	 
35	 grp-11  	 T3     	 204.397	 P1       	 Ready? Oh...                                                                                                                                                                                                                                                                                                                                                                                                                                                                              	 P2       	 No no no                                                                                                                                                                                                                                                                                                                                                        	 -1.11 	 
36	 grp-11  	 T3     	 274.702	 P2       	 Yeah, it's also a nice...                                                                                                                                                                                                                                                                                                                                                                                                                                                                 	 P4       	 Yeah, I mean, it's a lot of those things.                                                                                                                                                                                                                                                                                                                       	 0.34  	 
37	 grp-11  	 T3     	 328.883	 P4       	 Well, I think the beach party sounds really fun, but I just wonder if... people will feel a little bit...                                                                                                                                                                                                                                                                                                                                                                                 	 P2       	 Yeah, if they would go...                                                                                                                                                                                                                                                                                                                                       	 -4.39 	 
38	 grp-11  	 T3     	 352.861	 P4       	 Well, it's...                                                                                                                                                                                                                                                                                                                                                                                                                                                                             	 P3       	 And there is no, there is also, you can, we have also rented place to stay there, and food, and games, so... there is no getting away.                                                                                                                                                                                                                          	 -0.66 	 
39	 grp-11  	 T3     	 381.468	 P1       	 It's kind of tricky, but if we have...                                                                                                                                                                                                                                                                                                                                                                                                                                                    	 P4       	 No, I you do it at the right time during the year, I agree, it's...                                                                                                                                                                                                                                                                                             	 -2.28 	 
40	 grp-11  	 T3     	 384.551	 P4       	 No, I you do it at the right time during the year, I agree, it's...                                                                                                                                                                                                                                                                                                                                                                                                                       	 P1       	 Yeah.                                                                                                                                                                                                                                                                                                                                                           	 -0.88 	 
41	 grp-11  	 T3     	 395.487	 P1       	 Yeah, hmm...                                                                                                                                                                                                                                                                                                                                                                                                                                                                              	 P3       	 Of course, the budget will also be...                                                                                                                                                                                                                                                                                                                           	 1.83  	 
42	 grp-11  	 T3     	 398.642	 P3       	 Of course, the budget will also be...                                                                                                                                                                                                                                                                                                                                                                                                                                                     	 P1       	 Wohoo, you will be generous                                                                                                                                                                                                                                                                                                                                     	 0.05  	 
43	 grp-11  	 T3     	 413.763	 P4       	 I think it sounds, I think it's...                                                                                                                                                                                                                                                                                                                                                                                                                                                        	 P1       	 If it's unlimited budget, it's fine.                                                                                                                                                                                                                                                                                                                            	 -2.65 	 
44	 grp-11  	 T3     	 486.132	 P3       	 Yeah yeah, it was just on my...                                                                                                                                                                                                                                                                                                                                                                                                                                                           	 P4       	 It hasn't disappeared from me either.                                                                                                                                                                                                                                                                                                                           	 0.79  	 
45	 grp-12  	 T1     	 643.425	 P4       	 No, okay, I wasn't...                                                                                                                                                                                                                                                                                                                                                                                                                                                                     	 P3       	 So, decision made.                                                                                                                                                                                                                                                                                                                                              	 0.32  	 
46	 grp-12  	 T2     	 504.351	 P4       	 I mean, it depends on how many people you need to engage, but...                                                                                                                                                                                                                                                                                                                                                                                                                          	 P1       	 You don't have to do them all at once, right? You can do them in rounds                                                                                                                                                                                                                                                                                         	 0.57  	 
47	 grp-12  	 T2     	 533.347	 P3       	 But the interactive workshop that will take a lot of resources if we had to roll out throughout GN...                                                                                                                                                                                                                                                                                                                                                                                     	 P1       	 I know, but we were not told that we have limited resources, right?                                                                                                                                                                                                                                                                                             	 -0.79 	 
48	 grp-12  	 T2     	 546.932	 P2       	 And also feel like...                                                                                                                                                                                                                                                                                                                                                                                                                                                                     	 P4       	 I mean the threshold also like the i mean for for people to engage in these interactive like formal oh yeah okay inform even informal but if i think it's higher than you having like something you start with something more passive like a lecture and then you have the possibility to engage like Q&A for example that's a personal opinion of course but...	 1.15  	 
49	 grp-12  	 T2     	 773.166	 P2       	 Any of those...                                                                                                                                                                                                                                                                                                                                                                                                                                                                           	 P1       	 So if you guys want to work across teams and then we can say we do it as interactive workshops.                                                                                                                                                                                                                                                                 	 0.74  	 
50	 grp-12  	 T3     	 388.454	 P1       	 There's laser tech, paintball, river rafting, maybe it's difficult to find a river we could do rafting on in Denmark, but...                                                                                                                                                                                                                                                                                                                                                              	 P3       	 Boat trip, river rafting, campus, laser tech, cooking, pastry class, we have some nice like a...                                                                                                                                                                                                                                                                	 -0.16 	 
51	 grp-12  	 T3     	 396.261	 P3       	 Boat trip, river rafting, campus, laser tech, cooking, pastry class, we have some nice like a...                                                                                                                                                                                                                                                                                                                                                                                          	 P4       	 i didn't have i didn't have time to elaborate uh...                                                                                                                                                                                                                                                                                                             	 -6.18 	 
52	 grp-12  	 T3     	 579.182	 P2       	 We don't talk to each other, right? In the paintball...                                                                                                                                                                                                                                                                                                                                                                                                                                   	 P1       	 It's the calmer version of that                                                                                                                                                                                                                                                                                                                                 	 -2.23 	 
53	 grp-12  	 T3     	 658.296	 P3       	 No one dressed up for the Halloween Party, no one here...                                                                                                                                                                                                                                                                                                                                                                                                                                 	 P4       	 I mean...                                                                                                                                                                                                                                                                                                                                                       	 -1.97 	 
54	 grp-12  	 T3     	 658.446	 P4       	 I mean...                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 	 P1       	 I know, as soon as you ask me to dress up they back out                                                                                                                                                                                                                                                                                                         	 0.82  	 
55	 grp-12  	 T3     	 675.292	 P4       	 You can, you can, you can extend your...                                                                                                                                                                                                                                                                                                                                                                                                                                                  	 P2       	 Yeah, that's right, and also...                                                                                                                                                                                                                                                                                                                                 	 0.31  	 
56	 grp-13  	 T1     	 479.186	 P1       	 I think the only thing that I see...                                                                                                                                                                                                                                                                                                                                                                                                                                                      	 P3       	 Probably A could do it as well, right?                                                                                                                                                                                                                                                                                                                          	 -0.25 	 
57	 grp-13  	 T1     	 496.553	 P1       	 But...                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    	 P3       	 C mentioned something about, is for me, AlphaEI, right?                                                                                                                                                                                                                                                                                                         	 1.26  	 
58	 grp-13  	 T1     	 498.163	 P1       	 No...                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     	 P3       	 C mentioned something about, is for me, AlphaEI, right?                                                                                                                                                                                                                                                                                                         	 -0.1  	 
59	 grp-08  	 T1     	 360.303	 P3       	 So that's not...                                                                                                                                                                                                                                                                                                                                                                                                                                                                          	 P2       	 No.                                                                                                                                                                                                                                                                                                                                                             	 0.97  	 
60	 grp-08  	 T1     	 441.717	 P3       	 I don't know if that's important for this specific role or...                                                                                                                                                                                                                                                                                                                                                                                                                             	 P1       	 But I think the role will sort of lead the team, right?                                                                                                                                                                                                                                                                                                         	 0.26  	 
61	 grp-08  	 T1     	 576.877	 P1       	 Yeah, what about...                                                                                                                                                                                                                                                                                                                                                                                                                                                                       	 MODERATOR	 You know that part.                                                                                                                                                                                                                                                                                                                                             	 -0.5  	 
62	 grp-08  	 T1     	 578.818	 P2       	 Just put seven or...                                                                                                                                                                                                                                                                                                                                                                                                                                                                      	 P3       	 Seven.                                                                                                                                                                                                                                                                                                                                                          	 -0.07 	 repetition
63	 grp-08  	 T2     	 435.847	 P4       	 So I think it's important to...                                                                                                                                                                                                                                                                                                                                                                                                                                                           	 P1       	 Yeah, and the mental health is a big issue, not only in GN, but in general terms, right?                                                                                                                                                                                                                                                                        	 0.92  	 
64	 grp-08  	 T2     	 552.661	 P2       	 There's no...                                                                                                                                                                                                                                                                                                                                                                                                                                                                             	 P1       	 So both a topic and a format, right?                                                                                                                                                                                                                                                                                                                            	 0.65  	 
65	 grp-08  	 T2     	 562.476	 P3       	 I don't know...                                                                                                                                                                                                                                                                                                                                                                                                                                                                           	 P4       	 Yeah.                                                                                                                                                                                                                                                                                                                                                           	 0.92  	 
66	 grp-08  	 T2     	 693.31 	 P2       	 Yeah, so getting the AI as a topic the three of us could agree, and then I would compromise on the interactive...                                                                                                                                                                                                                                                                                                                                                                         	 P1       	 Yeah?                                                                                                                                                                                                                                                                                                                                                           	 -7.12 	 
67	 grp-08  	 T2     	 773.13 	 P2       	 So next to you is oh because the other one is front of...                                                                                                                                                                                                                                                                                                                                                                                                                                 	 P1       	 Yeah. Next must be... Right?                                                                                                                                                                                                                                                                                                                                    	 -2.19 	 
68	 grp-08  	 T3     	  72.434	 P3       	 We will get some information of how the idea should be, or like in the tablet? This is our own...                                                                                                                                                                                                                                                                                                                                                                                         	 MODERATOR	 No, it's just... This is GN social event.                                                                                                                                                                                                                                                                                                                       	 -2.39 	 
69	 grp-08  	 T3     	 338.081	 MODERATOR	 Yeah, it works based on the timer, so...                                                                                                                                                                                                                                                                                                                                                                                                                                                  	 P2       	 Yeah, it's fine.                                                                                                                                                                                                                                                                                                                                                	 -0.54 	 
70	 grp-08  	 T3     	 521.563	 P2       	 Some team event in Legoland that was on the hotel and they were building stuff but I previously actually worked in Legoland and we've had for the Legoland employees after our events where they closed down the park and we got to do stuff in some of the theme park rides that you normally wouldn't do like you start going in one and you throw peep stuff at each other you have to catch while hanging out the side of one of the boats or whatever or ride around in the little...	 P1       	 Cool.                                                                                                                                                                                                                                                                                                                                                           	 -21.18	 
71	 grp-08  	 T3     	 583.762	 P2       	 Concerts and...                                                                                                                                                                                                                                                                                                                                                                                                                                                                           	 P1       	 Lego.                                                                                                                                                                                                                                                                                                                                                           	 0.6   	 
72	 grp-08  	 T3     	 590.656	 P2       	 I mean, the...                                                                                                                                                                                                                                                                                                                                                                                                                                                                            	 P3       	 The mystery game and the haunted house.                                                                                                                                                                                                                                                                                                                         	 -0.11 	 
73	 grp-08  	 T3     	 633.055	 P2       	 Outside Denmark? Or...                                                                                                                                                                                                                                                                                                                                                                                                                                                                    	 P4       	 Yeah, yeah.                                                                                                                                                                                                                                                                                                                                                     	 1.14  	 
74	 grp-08  	 T3     	 641.4  	 P2       	 Yeah, we had the infinite budget, right? So...                                                                                                                                                                                                                                                                                                                                                                                                                                            	 P3       	 Budget, yes.                                                                                                                                                                                                                                                                                                                                                    	 -0.46 	 
75	 grp-08  	 T3     	 688.339	 P2       	 Yeah, so it's it's it's a theme park alongside like Tivoli and others but it's so as a theme park in general it's geared more towards kids that's sort of why the after hour things where you can do stuff you normally wouldn't do and it's...                                                                                                                                                                                                                                           	 P4       	 Okay.                                                                                                                                                                                                                                                                                                                                                           	 -14.84	 
76	 grp-08  	 T3     	 815.454	 P4       	 Yeah, I think P1-2, some family event, looks to me as well more engaging and also...                                                                                                                                                                                                                                                                                                                                                                                                      	 P2       	 Yeah.                                                                                                                                                                                                                                                                                                                                                           	 1.45  	 
77	 grp-08  	 T3     	 840.997	 P2       	 "Yeah, but there is a prompt ""winning idea"", concrete, so..."                                                                                                                                                                                                                                                                                                                                                                                                                           	 P4       	 Just try to find out if there is something in the list.                                                                                                                                                                                                                                                                                                         	 0.97  	 
78	 grp-09  	 T3     	 330.41 	 P4       	 Yeah, and then if you have grievances against your boss, you can just...                                                                                                                                                                                                                                                                                                                                                                                                                  	 P2       	 Would you like to elaborate on the back to the 80's suggestion?                                                                                                                                                                                                                                                                                                 	 -2.33 	 
79	 grp-09  	 T3     	 419.949	 P4       	 Ah, and I am the negative guy seeing all the...                                                                                                                                                                                                                                                                                                                                                                                                                                           	 P1       	 They'd also, like, rent out golf carts for every team so you could, like, drive around.                                                                                                                                                                                                                                                                         	 1.94  	 
80	 grp-09  	 T3     	 441.291	 P2       	 I mean, you know, I...                                                                                                                                                                                                                                                                                                                                                                                                                                                                    	 P3       	 I mean, it could be one.                                                                                                                                                                                                                                                                                                                                        	 0.95  	 
81	 grp-09  	 T3     	 465.749	 P3       	 I think bowling can become a little bit difficult sometimes depends how big the groups are like personally if i play bowling and there's like seven people in a team then until you're like it's your turn again it just becomes a little bit boring but i guess you can yeah talk to other people just i'm also quite competitive so i feel like...                                                                                                                                      	 P2       	 But I think it's good.                                                                                                                                                                                                                                                                                                                                          	 0.41  	 
82	 grp-09  	 T3     	 669.145	 P3       	 My only reason to lean towards...                                                                                                                                                                                                                                                                                                                                                                                                                                                         	 MODERATOR	 One last minute, and as before, one of you at the end would say, sorry, the timer is not showing, but I will come and tell you.                                                                                                                                                                                                                                 	 -0.73 	 
