#	group_id	task_id	onset_b	speaker_a	context_a_prev	text_a	speaker_b	text_b	gap_s	jaccard	candidate_type	is_completion	is_repetition
1	 grp-16  	 T2     	589.5	 P1       	 Should we vote? | UNINTELLIGIBLE                                                                                                                                                                                                                                                     	 yeah, sort of                                                                                                                                                              	 P3       	 We could go with four maybe                                                                                                                                                                                                                                     	-1.5	0.0	 completion    	0	0
22	 grp-08  	 T3     	590.9	 P2       	 Concerts and... | Lego!                                                                                                                                                                                                                                                              	 I mean, the...                                                                                                                                                             	 P3       	 The mystery game and the haunted house.                                                                                                                                                                                                                         	-0.11	0.0	 completion    	1	0
23	 grp-11  	 T3     	468.2	 P2       	 Yeah, I did one and then it came back with one more. | Okay.                                                                                                                                                                                                                         	 It was your idea, you could put it in.                                                                                                                                     	 P3       	 We can take turns here.                                                                                                                                                                                                                                         	-0.09	0.0	 completion    	0	0
24	 grp-13  	 T2     	283.6	 P3       	 And I think also speaking of being productive, I mean, I think the format... | since we are, if it's when we're looking at AI and productivity, online training and quizzes,                                                                                                         	 would be a good way to go, also looking at how much time we spend on this.                                                                                                 	 P2       	 I want to see lectures and Q&A could be used and that uh especially in AI then you have some uh how you use AI in the daily task and then you have a lecture online training on how to use it in most efficient way and so on to make it make the best use of it	-0.07	0.125	 completion    	0	0
25	 grp-08  	 T3     	735.2	 P3       	 Yeah, no, me neither. | But that's with including the family and kids, I think it's a good idea.                                                                                                                                                                                     	 Not only because you always talk at home, maybe, ah, my colleague, this and that.                                                                                          	 P1       	 Yeah, to bring them as well.                                                                                                                                                                                                                                    	-0.05	0.0	 completion    	0	0
26	 grp-11  	 T2     	607.5	 P3       	 I think give them the online training and the quiz. | That's the way to go.                                                                                                                                                                                                          	 I don't think there was an agreement, so...                                                                                                                                	 P1       	 No, there was no agreement.                                                                                                                                                                                                                                     	-0.05	0.1818181818181818	 completion    	0	1
27	 grp-15  	 T2     	744.0	 P1       	 I think it was interactive workshop, right? | Was it not?                                                                                                                                                                                                                            	 all right okay okay if you have a cross department is fine yeah we can do that                                                                                             	 P2       	 Cross department or interactive?                                                                                                                                                                                                                                	0.0	0.1111111111111111	 completion    	0	0
28	 grp-15  	 T2     	739.0	 P4       	 Yeah. | Yeah.                                                                                                                                                                                                                                                                        	 Yeah, one of the                                                                                                                                                           	 P1       	 all right okay okay if you have a cross department is fine yeah we can do that                                                                                                                                                                                  	0.0	0.0	 completion    	0	0
29	 grp-15  	 T2     	717.0	 P1       	 It really depends on the team, right? | So, if you had a workshop with your team, you could really manage those points of friction better, I guess.                                                                                                                                  	 Then please, why don't you fill in the...                                                                                                                                  	 P4       	 Would you do it again?                                                                                                                                                                                                                                          	0.0	0.0833333333333333	 completion    	0	0
30	 grp-15  	 T1     	268.0	 P1       	 From my point of view, it's more like the project coordinating kind of type rather than the very technical one. | Yeah, because it's not about developing the AI.                                                                                                                    	 It's more about the adoption part of it.                                                                                                                                   	 P3       	 And from the other two, then?                                                                                                                                                                                                                                   	0.0	0.0769230769230769	 completion    	0	0
31	 grp-07  	 T2     	282.0	 P1       	 Yeah, but we need to choose one of them, right? | So, if it's one of the…                                                                                                                                                                                                            	 One of the four.                                                                                                                                                           	 P3       	 One of the four.                                                                                                                                                                                                                                                	0.0	1.0	 repetition    	0	1
32	 grp-11  	 T1     	188.1	 P2       	 I think that's something we would like to engage. | Yeah.                                                                                                                                                                                                                            	 I don't know.                                                                                                                                                              	 P1       	 I don't know.                                                                                                                                                                                                                                                   	0.41	1.0	 repetition    	0	1
33	 grp-15  	 T1     	299.0	 P3       	 Do you have a preference? | Yes.                                                                                                                                                                                                                                                     	 Yeah, I agree.                                                                                                                                                             	 P4       	 I agree.                                                                                                                                                                                                                                                        	0.0	0.6666666666666666	 repetition    	0	1
34	 grp-16  	 T3     	355.9	 P3       	 Me too, yeah | Yes that's definitely a win                                                                                                                                                                                                                                           	 It would be great.                                                                                                                                                         	 P4       	 It would be great                                                                                                                                                                                                                                               	-0.33	0.6	 repetition    	0	1
35	 grp-10  	 T1     	540.6	 P3       	 I would probably go with C I think would be my preferred one but A is also a strong candidate and B is not necessarily very preferred in my mind because B is more technical so they would maybe work with the other candidate for like another position | I agree                   	 What do you think?                                                                                                                                                         	 P2       	 What do you think, Grace?                                                                                                                                                                                                                                       	-1.45	0.5	 repetition    	0	1
36	 grp-10  	 T3     	625.4	 P4       	 Okay. | If it's just one idea, I'm going to have to go with paintball.                                                                                                                                                                                                               	 Silent paintball.                                                                                                                                                          	 P3       	 Silent paintball?                                                                                                                                                                                                                                               	-0.57	0.3333333333333333	 repetition    	0	1
37	 grp-07  	 T2     	389.0	 P3       	 mmh | mmh                                                                                                                                                                                                                                                                            	 All good.                                                                                                                                                                  	 P1       	 All good?                                                                                                                                                                                                                                                       	0.39	0.3333333333333333	 repetition    	0	1
