group_id	task_id	window_index	hmm_state_lexical
grp-12	T2	22	3
grp-12	T2	23	3
grp-12	T2	24	4
grp-12	T2	25	3
grp-12	T2	26	4
grp-12	T2	27	3
grp-13	T1	0	2
grp-13	T1	1	3
grp-13	T1	2	2
grp-13	T1	3	3
grp-13	T1	4	3
grp-13	T1	5	2
grp-13	T1	8	0
grp-13	T1	9	0
grp-13	T1	10	3
grp-13	T1	11	3
grp-13	T1	12	3
grp-13	T1	13	3
grp-13	T1	14	3
grp-13	T1	15	3
grp-13	T1	16	3
grp-13	T1	17	3
grp-13	T1	18	3
grp-13	T1	19	3
grp-13	T2	0	0
grp-13	T2	1	2
grp-13	T2	2	2
grp-13	T2	3	2
grp-13	T2	5	3
grp-13	T2	6	3
grp-13	T2	7	3
grp-13	T2	8	3
grp-13	T2	9	0
grp-13	T2	10	3
grp-13	T2	11	0
grp-13	T2	12	3
grp-13	T2	13	3
grp-13	T2	14	3
grp-13	T2	15	3
grp-13	T2	16	3
grp-13	T2	17	3
grp-13	T2	18	3
grp-13	T2	19	3
grp-13	T2	20	4
grp-13	T2	21	4
grp-13	T2	22	3
grp-13	T2	23	3
grp-14	T1	0	2
grp-14	T1	1	2
grp-14	T1	2	2
grp-14	T1	3	2
grp-14	T1	4	2
grp-14	T1	5	2
grp-14	T1	6	2
grp-14	T1	7	1
grp-14	T1	8	3
grp-14	T1	9	3
grp-14	T1	10	4
grp-14	T1	11	3
grp-14	T1	12	3
grp-14	T1	13	4
grp-14	T1	14	4
grp-14	T2	0	2
grp-14	T2	3	2
grp-14	T2	4	2
grp-14	T2	5	2
grp-14	T2	6	1
grp-14	T2	7	0
grp-14	T2	8	0
grp-14	T2	9	0
grp-14	T2	10	0
grp-14	T2	11	0
grp-14	T2	12	3
grp-14	T2	13	3
grp-14	T2	14	3
grp-14	T2	15	3
grp-14	T2	16	3
grp-14	T2	17	4
grp-14	T2	18	3
grp-14	T2	19	4
grp-14	T2	20	3
grp-14	T2	21	4
grp-14	T2	22	4
grp-14	T2	23	4
grp-14	T2	24	3
grp-14	T3	0	2
grp-14	T3	1	2
grp-14	T3	2	2
grp-14	T3	3	2
grp-14	T3	4	2
grp-14	T3	5	2
grp-14	T3	6	2
grp-14	T3	7	2
grp-14	T3	8	2
grp-14	T3	9	1
grp-14	T3	10	3
grp-14	T3	11	3
grp-14	T3	12	3
grp-15	T1	0	2
grp-15	T1	1	2
grp-15	T1	2	2
grp-15	T1	3	2
grp-15	T1	4	2
grp-15	T1	5	2
grp-15	T1	6	1
grp-15	T1	7	1
grp-15	T1	8	4
grp-15	T1	9	4
grp-15	T1	10	4
grp-15	T1	11	4
grp-15	T1	12	4
grp-15	T1	13	4
grp-15	T1	14	3
grp-15	T2	0	2
grp-15	T2	2	2
grp-15	T2	3	2
grp-15	T2	4	2
grp-15	T2	5	0
grp-15	T2	6	0
grp-15	T2	7	0
grp-15	T2	8	0
grp-15	T2	9	0
grp-15	T2	10	0
grp-15	T2	11	3
grp-15	T2	12	3
grp-15	T2	13	4
grp-15	T2	14	4
grp-15	T2	15	3
grp-15	T2	16	3
grp-15	T2	17	3
grp-15	T2	18	4
grp-15	T2	19	4
grp-15	T2	20	4
grp-15	T2	21	3
grp-15	T2	22	4
grp-15	T3	0	2
grp-15	T3	1	2
grp-15	T3	2	2
grp-15	T3	3	2
grp-15	T3	4	2
grp-15	T3	5	2
grp-15	T3	6	2
grp-15	T3	7	2
grp-15	T3	8	2
grp-15	T3	9	2
grp-15	T3	10	3
grp-15	T3	11	3
grp-15	T3	12	3
grp-16	T1	0	2
grp-16	T1	1	2
grp-16	T1	2	2
grp-16	T1	3	2
grp-16	T1	4	2
grp-16	T1	5	2
grp-16	T1	6	0
grp-16	T1	7	0
grp-16	T1	8	3
grp-16	T1	9	3
grp-16	T1	10	3
grp-16	T1	11	4
grp-16	T1	12	3
grp-16	T1	13	4
grp-16	T1	14	3
grp-16	T2	0	2
grp-16	T2	1	2
grp-16	T2	2	2
grp-16	T2	3	2
grp-16	T2	4	2
grp-16	T2	5	2
grp-16	T2	6	0
grp-16	T2	7	0
grp-16	T2	8	0
grp-16	T2	9	3
grp-16	T2	10	3
grp-16	T2	11	3
grp-16	T2	12	3
grp-16	T2	13	4
grp-16	T2	14	4
grp-16	T2	15	3
grp-16	T2	16	4
grp-16	T3	0	2
grp-16	T3	1	2
grp-16	T3	2	2
grp-16	T3	3	2
grp-16	T3	4	2
grp-16	T3	5	2
grp-16	T3	6	2
grp-16	T3	7	2
grp-16	T3	8	2
grp-16	T3	9	2
grp-16	T3	10	1
grp-16	T3	11	3
grp-16	T3	12	3
grp-16	T3	13	4
grp-16	T3	14	4
grp-16	T3	15	4
grp-16	T3	16	3
grp-16	T3	17	3
grp-16	T3	18	3
grp-16	T3	21	3
grp-16	T3	22	3
