kind	feature	target	n	ICC	LR_stat	dof	LR_p	n_per_param	converged	underpowered	q
focal	lex_agreement_rate	mental_demand	110	0.0	0.47	1	0.4919	27.5	True	False	0.8142
focal	lex_agreement_rate	satisfaction	75	0.0	0.33	1	0.5646	25.0	True	False	0.8669
focal	audio_pitch_mean	team_coordination	68	0.053	4.19	1	0.0408	22.67	True	False	0.4224
focal	audio_pitch_mean	voice_inclusion	107	0.0	0.64	1	0.4252	26.75	True	False	0.7904
focal	audio_pitch_mean	mental_demand	106	0.0	0.0	1	0.9837	26.5	True	False	0.9925
focal	audio_pitch_mean	satisfaction	71	0.0	0.31	1	0.576	23.67	True	False	0.8669
focal	audio_energy_mean	team_coordination	68	0.053	4.53	1	0.0333	22.67	True	False	0.4224
focal	audio_energy_mean	voice_inclusion	107	0.0	0.57	1	0.4494	26.75	True	False	0.8126
focal	audio_energy_mean	mental_demand	106	0.0	4.15	1	0.0416	26.5	True	False	0.4224
focal	audio_energy_mean	satisfaction	71	0.0	0.0	1	0.9824	23.67	True	False	0.9925
focal	hr_mean_bpm	team_coordination	68	0.01	0.2	1	0.6536	22.67	True	False	0.8863
focal	hr_mean_bpm	voice_inclusion	102	0.0	0.09	1	0.7689	25.5	True	False	0.9145
focal	hr_mean_bpm	mental_demand	101	0.0	0.87	1	0.3513	25.25	True	False	0.7753
focal	hr_mean_bpm	satisfaction	67	0.0	0.0	1	0.9668	22.33	True	False	0.9925
focal	eda_phasic_rate_hz	team_coordination	67	0.015	4.57	1	0.0326	22.33	True	False	0.4224
focal	eda_phasic_rate_hz	voice_inclusion	101	0.0	4.37	1	0.0366	25.25	True	False	0.4224
focal	eda_phasic_rate_hz	mental_demand	100	0.0	0.9	1	0.3427	25.0	True	False	0.7753
focal	eda_phasic_rate_hz	satisfaction	67	0.0	0.19	1	0.6647	22.33	True	False	0.8863
focal	pupil_mean	team_coordination	80	0.0	0.22	1	0.6355	26.67	True	False	0.8863
focal	pupil_mean	voice_inclusion	119	0.0	0.46	1	0.4996	29.75	True	False	0.8142
focal	pupil_mean	mental_demand	118	0.0	0.02	1	0.8748	29.5	True	False	0.9786
focal	pupil_mean	satisfaction	78	0.0	4.41	1	0.0358	26.0	True	False	0.4224
others_mean	tr_speaking_time_s	team_coordination	72	0.016	1.35	1	0.2456	24.0	True	False	0.7753
others_mean	tr_speaking_time_s	voice_inclusion	111	0.0	0.7	1	0.4043	27.75	True	False	0.7904
others_mean	tr_speaking_time_s	mental_demand	110	0.0	0.81	1	0.3676	27.5	True	False	0.7753
others_mean	tr_speaking_time_s	satisfaction	75	0.0	0.3	1	0.5845	25.0	True	False	0.8669
others_mean	tr_overlap_time_s	team_coordination	72	0.016	1.86	1	0.1727	24.0	True	False	0.7599
others_mean	tr_overlap_time_s	voice_inclusion	111	0.0	0.5	1	0.4797	27.75	True	False	0.8142
others_mean	tr_overlap_time_s	mental_demand	110	0.0	2.24	1	0.1346	27.5	True	False	0.7107
others_mean	tr_overlap_time_s	satisfaction	75	0.0	0.26	1	0.6098	25.0	True	False	0.8845
others_mean	tr_backchannel_count	team_coordination	72	0.016	1.13	1	0.2887	24.0	True	False	0.7753
others_mean	tr_backchannel_count	voice_inclusion	111	0.0	0.18	1	0.6752	27.75	True	False	0.8884
others_mean	tr_backchannel_count	mental_demand	110	0.0	0.95	1	0.3291	27.5	True	False	0.7753
others_mean	tr_backchannel_count	satisfaction	75	0.0	1.24	1	0.2648	25.0	True	False	0.7753
others_mean	lex_ttr	team_coordination	72	0.016	0.21	1	0.6483	24.0	True	False	0.8863
others_mean	lex_ttr	voice_inclusion	111	0.0	1.43	1	0.231	27.75	True	False	0.7753
others_mean	lex_ttr	mental_demand	110	0.0	1.12	1	0.2893	27.5	True	False	0.7753
others_mean	lex_ttr	satisfaction	75	0.0	0.4	1	0.5252	25.0	True	False	0.8454
others_mean	lex_sentiment_ratio	team_coordination	72	0.016	0.47	1	0.4925	24.0	True	False	0.8142
others_mean	lex_sentiment_ratio	voice_inclusion	111	0.0	1.16	1	0.281	27.75	True	False	0.7753
others_mean	lex_sentiment_ratio	mental_demand	110	0.0	0.78	1	0.3766	27.5	True	False	0.7753
others_mean	lex_sentiment_ratio	satisfaction	75	0.0	0.24	1	0.6244	25.0	True	False	0.8863
others_mean	lex_agreement_rate	team_coordination	72	0.016	0.06	1	0.7999	24.0	True	False	0.9344
others_mean	lex_agreement_rate	voice_inclusion	111	0.0	0.22	1	0.6372	27.75	True	False	0.8863
others_mean	lex_agreement_rate	mental_demand	110	0.0	0.31	1	0.5782	27.5	True	False	0.8669
others_mean	lex_agreement_rate	satisfaction	75	0.0	0.07	1	0.7908	25.0	True	False	0.932
others_mean	audio_pitch_mean	team_coordination	68	0.053	3.3	1	0.0692	22.67	True	False	0.5169
others_mean	audio_pitch_mean	voice_inclusion	107	0.0	1.0	1	0.3167	26.75	True	False	0.7753
others_mean	audio_pitch_mean	mental_demand	106	0.0	0.16	1	0.6857	26.5	True	False	0.8884
others_mean	audio_pitch_mean	satisfaction	71	0.0	0.46	1	0.4956	23.67	True	False	0.8142
others_mean	audio_energy_mean	team_coordination	68	0.053	0.04	1	0.8354	22.67	True	False	0.9575
others_mean	audio_energy_mean	voice_inclusion	107	0.0	0.27	1	0.6047	26.75	True	False	0.8845
others_mean	audio_energy_mean	mental_demand	106	0.0	0.63	1	0.4287	26.5	True	False	0.7904
others_mean	audio_energy_mean	satisfaction	71	0.0	1.1	1	0.2945	23.67	True	False	0.7753
others_mean	hr_mean_bpm	team_coordination	74	0.07	0.85	1	0.358	24.67	True	False	0.7753
others_mean	hr_mean_bpm	voice_inclusion	112	0.0	0.03	1	0.8582	28.0	True	False	0.9682
others_mean	hr_mean_bpm	mental_demand	111	0.0	0.0	1	0.977	27.75	True	False	0.9925
others_mean	hr_mean_bpm	satisfaction	73	0.0	3.87	1	0.049	24.33	True	False	0.462
others_mean	eda_phasic_rate_hz	team_coordination	71	0.084	9.3	1	0.0023	23.67	True	False	0.176
others_mean	eda_phasic_rate_hz	voice_inclusion	109	0.0	0.01	1	0.9329	27.25	True	False	0.9925
others_mean	eda_phasic_rate_hz	mental_demand	108	0.0	0.53	1	0.4674	27.0	True	False	0.8142
others_mean	eda_phasic_rate_hz	satisfaction	73	0.0	3.45	1	0.0634	24.33	True	False	0.5169
others_mean	pupil_mean	team_coordination	80	0.0	0.38	1	0.5372	26.67	True	False	0.8543
others_mean	pupil_mean	voice_inclusion	119	0.0	1.05	1	0.3064	29.75	True	False	0.7753
others_mean	pupil_mean	mental_demand	118	0.0	0.09	1	0.769	29.5	True	False	0.9145
others_mean	pupil_mean	satisfaction	78	0.0	0.14	1	0.7095	26.0	True	False	0.9093
others_std	tr_speaking_time_s	team_coordination	72	0.016	3.05	1	0.0805	24.0	True	False	0.5313
others_std	tr_speaking_time_s	voice_inclusion	111	0.0	0.8	1	0.3709	27.75	True	False	0.7753
others_std	tr_speaking_time_s	mental_demand	110	0.0	0.11	1	0.7349	27.5	True	False	0.9145
others_std	tr_speaking_time_s	satisfaction	75	0.0	0.0	1	0.9647	25.0	True	False	0.9925
others_std	tr_overlap_time_s	team_coordination	72	0.016	0.96	1	0.3273	24.0	True	False	0.7753
others_std	tr_overlap_time_s	voice_inclusion	111	0.0	0.86	1	0.3539	27.75	True	False	0.7753
others_std	tr_overlap_time_s	mental_demand	110	0.0	2.24	1	0.1345	27.5	True	False	0.7107
others_std	tr_overlap_time_s	satisfaction	75	0.0	0.13	1	0.7168	25.0	True	False	0.9098
others_std	tr_backchannel_count	team_coordination	72	0.016	2.45	1	0.1174	24.0	True	False	0.7044
others_std	tr_backchannel_count	voice_inclusion	111	0.0	1.94	1	0.1633	27.75	True	False	0.7599
others_std	tr_backchannel_count	mental_demand	110	0.0	2.3	1	0.1291	27.5	True	False	0.7107
others_std	tr_backchannel_count	satisfaction	75	0.0	0.01	1	0.9211	25.0	True	False	0.9925
others_std	lex_ttr	team_coordination	72	0.016	1.43	1	0.2317	24.0	True	False	0.7753
others_std	lex_ttr	voice_inclusion	111	0.0	0.16	1	0.6865	27.75	True	False	0.8884
others_std	lex_ttr	mental_demand	110	0.0	2.11	1	0.1468	27.5	True	False	0.726
others_std	lex_ttr	satisfaction	75	0.0	1.59	1	0.2068	25.0	True	False	0.7753
others_std	lex_sentiment_ratio	team_coordination	72	0.016	0.09	1	0.7591	24.0	True	False	0.9145
others_std	lex_sentiment_ratio	voice_inclusion	111	0.0	1.35	1	0.2451	27.75	True	False	0.7753
others_std	lex_sentiment_ratio	mental_demand	110	0.0	1.53	1	0.2167	27.5	True	False	0.7753
others_std	lex_sentiment_ratio	satisfaction	75	0.0	0.09	1	0.7609	25.0	True	False	0.9145
others_std	lex_agreement_rate	team_coordination	72	0.016	1.91	1	0.167	24.0	True	False	0.7599
others_std	lex_agreement_rate	voice_inclusion	111	0.0	0.99	1	0.3209	27.75	True	False	0.7753
others_std	lex_agreement_rate	mental_demand	110	0.0	0.32	1	0.5694	27.5	True	False	0.8669
others_std	lex_agreement_rate	satisfaction	75	0.0	0.62	1	0.4311	25.0	True	False	0.7904
others_std	audio_pitch_mean	team_coordination	68	0.053	0.84	1	0.3596	22.67	True	False	0.7753
others_std	audio_pitch_mean	voice_inclusion	107	0.0	0.0	1	0.985	26.75	True	False	0.9925
others_std	audio_pitch_mean	mental_demand	106	0.0	0.33	1	0.5632	26.5	True	False	0.8669
others_std	audio_pitch_mean	satisfaction	71	0.0	0.02	1	0.8881	23.67	True	False	0.9851
others_std	audio_energy_mean	team_coordination	68	0.053	0.79	1	0.3746	22.67	True	False	0.7753
others_std	audio_energy_mean	voice_inclusion	107	0.0	3.21	1	0.0734	26.75	True	False	0.5169
others_std	audio_energy_mean	mental_demand	106	0.0	0.11	1	0.7374	26.5	True	False	0.9145
others_std	audio_energy_mean	satisfaction	71	0.0	0.63	1	0.4287	23.67	True	False	0.7904
others_std	hr_mean_bpm	team_coordination	74	0.07	0.93	1	0.3354	24.67	True	False	0.7753
others_std	hr_mean_bpm	voice_inclusion	112	0.0	0.01	1	0.9242	28.0	True	False	0.9925
others_std	hr_mean_bpm	mental_demand	111	0.0	1.55	1	0.2133	27.75	True	False	0.7753
others_std	hr_mean_bpm	satisfaction	73	0.0	0.85	1	0.3565	24.33	True	False	0.7753
others_std	eda_phasic_rate_hz	team_coordination	71	0.084	1.45	1	0.2286	23.67	True	False	0.7753
others_std	eda_phasic_rate_hz	voice_inclusion	109	0.0	0.47	1	0.4932	27.25	True	False	0.8142
others_std	eda_phasic_rate_hz	mental_demand	108	0.0	0.0	1	0.9991	27.0	True	False	0.9991
others_std	eda_phasic_rate_hz	satisfaction	73	0.0	0.0	1	0.9835	24.33	True	False	0.9925
others_std	pupil_mean	team_coordination	80	0.0	1.31	1	0.2529	26.67	True	False	0.7753
others_std	pupil_mean	voice_inclusion	119	0.0	0.2	1	0.6585	29.75	True	False	0.8863
others_std	pupil_mean	mental_demand	118	0.0	4.76	1	0.0292	29.5	True	False	0.4224
others_std	pupil_mean	satisfaction	78	0.0	0.04	1	0.8353	26.0	True	False	0.9575
